X,bg_female,bg_married,bg_b1_age,encouragement,safe_box,locked_box,fol2_amtinvest,has_followup2,treatment
1,0,1,30,0,1,0,340,1,safebox
2,1,1,29,0,1,0,80,1,safebox
3,1,1,40,0,1,0,0,1,safebox
4,0,1,44,0,1,0,100,1,safebox
5,0,1,22,0,1,0,NA,0,safebox
6,1,0,35,0,1,0,510,1,safebox
7,1,0,45,0,1,0,NA,0,safebox
8,1,0,28,0,1,0,60,1,safebox
9,1,1,45,0,1,0,1140,1,safebox
10,1,1,42,0,1,0,0,1,safebox
11,0,1,48,0,1,0,100,1,safebox
12,1,1,25,0,1,0,33,1,safebox
13,1,1,25,0,1,0,940,1,safebox
14,1,1,28,0,1,0,850,1,safebox
15,1,0,40,0,1,0,290,1,safebox
16,1,1,37,0,1,0,40,1,safebox
17,1,1,45,0,0,1,120,1,lockbox
18,1,1,30,0,0,1,1300,1,lockbox
19,1,0,40,0,0,1,100,1,lockbox
20,1,0,48,0,0,1,0,1,lockbox
21,1,1,40,0,0,1,640,1,lockbox
22,1,1,52,0,0,1,800,1,lockbox
23,0,1,33,0,0,1,1560,1,lockbox
24,1,1,47,0,0,1,96,1,lockbox
25,1,0,42,0,0,1,470,1,lockbox
26,1,0,55,0,0,1,60,1,lockbox
27,1,0,40,0,0,1,100,1,lockbox
28,1,0,24,0,0,1,550,1,lockbox
29,1,1,20,0,0,1,NA,0,lockbox
30,1,1,50,0,0,1,220,1,lockbox
31,0,1,51,0,0,1,40,1,lockbox
32,0,1,46,0,0,1,60,1,lockbox
33,1,1,40,0,0,1,80,1,lockbox
34,1,0,17,0,0,1,NA,0,lockbox
35,0,1,68,0,0,1,0,1,lockbox
36,1,1,33,0,0,1,NA,0,lockbox
37,1,1,38,0,0,1,NA,0,lockbox
38,1,1,68,0,0,1,0,1,lockbox
39,1,1,46,0,0,1,40,1,lockbox
40,0,1,48,1,0,0,110,1,control
41,0,0,32,1,0,0,0,1,control
42,0,1,35,1,0,0,93,1,control
43,1,1,47,1,0,0,20,1,control
44,1,1,35,1,0,0,80,1,control
45,0,1,56,1,0,0,1399,1,control
46,0,1,33,1,0,0,0,1,control
47,0,1,24,1,0,0,125,1,control
48,1,1,24,1,0,0,225,1,control
49,1,1,48,1,0,0,105,1,control
50,1,0,30,1,0,0,40,1,control
51,0,1,48,0,0,1,440,1,lockbox
52,1,0,63,0,0,1,500,1,lockbox
53,0,1,35,0,0,1,40,1,lockbox
54,1,0,62,0,0,1,700,1,lockbox
55,0,1,56,0,0,1,770,1,lockbox
56,1,1,45,0,0,1,0,1,lockbox
57,0,1,34,0,0,1,0,1,lockbox
58,1,1,40,0,0,1,720,1,lockbox
59,1,1,52,0,0,1,0,1,lockbox
60,1,1,45,0,0,1,900,1,lockbox
61,1,1,45,0,0,1,40,1,lockbox
62,1,1,40,0,0,1,0,1,lockbox
63,1,1,35,0,0,1,0,1,lockbox
64,1,1,23,0,0,1,700,1,lockbox
65,1,1,23,0,0,1,60,1,lockbox
66,1,1,23,0,0,1,470,1,lockbox
67,1,1,30,0,0,1,520,1,lockbox
68,0,1,41,0,0,1,300,1,lockbox
69,1,1,21,0,1,0,993,1,safebox
70,1,0,32,1,0,0,180,1,control
71,1,0,34,1,0,0,300,1,control
72,1,1,43,1,0,0,60,1,control
73,1,1,34,1,0,0,20,1,control
74,1,0,38,1,0,0,725,1,control
75,1,1,38,1,0,0,0,1,control
76,1,1,39,1,0,0,120,1,control
77,1,1,38,1,0,0,20,1,control
78,1,1,32,0,0,1,560,1,lockbox
79,1,1,28,0,0,1,840,1,lockbox
80,1,1,27,0,0,1,63,1,lockbox
81,1,1,25,0,0,1,880,1,lockbox
82,1,1,26,0,1,0,500,1,safebox
83,1,1,38,0,1,0,1430,1,safebox
84,1,1,38,0,1,0,350,1,safebox
85,1,1,26,0,1,0,640,1,safebox
86,0,1,36,0,1,0,0,1,safebox
87,1,1,30,0,1,0,420,1,safebox
88,1,1,30,0,1,0,850,1,safebox
89,1,0,25,0,1,0,0,1,safebox
90,1,1,45,0,1,0,700,1,safebox
91,1,0,30,0,1,0,1075,1,safebox
92,1,0,52,0,1,0,40,1,safebox
93,1,0,55,0,1,0,60,1,safebox
94,1,0,40,0,1,0,490,1,safebox
95,1,0,63,0,1,0,60,1,safebox
96,1,0,50,0,1,0,630,1,safebox
97,0,0,50,0,1,0,80,1,safebox
98,1,0,70,0,1,0,70,1,safebox
99,1,1,25,0,1,0,790,1,safebox
100,0,1,44,0,1,0,150,1,safebox
101,0,1,42,0,1,0,1180,1,safebox
102,0,1,26,0,1,0,NA,0,safebox
103,0,1,28,0,1,0,NA,0,safebox
104,1,0,49,0,1,0,40,1,safebox
105,1,1,35,0,1,0,150,1,safebox
106,0,1,44,0,1,0,300,1,safebox
107,1,1,26,0,1,0,760,1,safebox
108,1,1,35,0,1,0,20,1,safebox
109,1,1,35,0,1,0,390,1,safebox
110,1,1,43,1,0,0,980,1,control
111,1,1,44,1,0,0,710,1,control
112,1,0,42,0,0,1,240,1,lockbox
113,1,1,48,0,0,1,0,1,lockbox
114,1,1,21,0,0,1,100,1,lockbox
115,1,1,46,0,0,1,205,1,lockbox
116,1,1,21,0,0,1,60,1,lockbox
117,1,1,35,0,0,1,100,1,lockbox
118,1,1,51,0,0,1,40,1,lockbox
119,1,1,40,0,0,1,0,1,lockbox
120,1,0,50,0,0,1,0,1,lockbox
121,1,1,27,0,1,0,2580,1,safebox
122,1,1,32,0,1,0,5700,1,safebox
123,1,0,45,0,1,0,20,1,safebox
124,1,1,32,0,1,0,NA,0,safebox
125,1,1,18,0,1,0,150,1,safebox
126,1,0,42,0,0,1,20,1,lockbox
127,1,1,47,0,0,1,400,1,lockbox
128,1,0,47,0,0,1,70,1,lockbox
129,1,0,62,0,0,1,0,1,lockbox
130,1,0,70,0,0,1,0,1,lockbox
131,1,0,76,0,0,1,NA,0,lockbox
132,1,0,38,0,0,1,60,1,lockbox
133,1,0,70,0,0,1,20,1,lockbox
134,1,0,24,0,0,1,0,1,lockbox
135,0,1,37,0,1,0,NA,0,safebox
136,1,1,45,0,1,0,290,1,safebox
137,1,0,45,0,1,0,40,1,safebox
138,0,1,34,0,1,0,650,1,safebox
139,0,1,36,0,1,0,NA,0,safebox
140,0,1,40,1,0,0,80,1,control
141,0,1,41,1,0,0,600,1,control
142,1,1,40,1,0,0,0,1,control
143,1,1,32,1,0,0,385,1,control
144,1,1,24,1,0,0,50,1,control
145,0,1,36,1,0,0,50,1,control
146,0,1,30,1,0,0,350,1,control
147,0,1,33,0,0,1,200,1,lockbox
148,0,1,29,0,0,1,250,1,lockbox
